circRNA Name,Disease Name,Species,miRNA validated,miRNA predicted,miRNA target,RBP validated
circRNA-000284,Cervical cancer,Human,miR-506,,Snail-2,
circUBAP2,Lung cancer,Human,"miR-339-5p, miR-96-3p and miR-135b-3p",,,"CDK6, cyclin D1, c-IAP1, Bcl-2, Survivin, FAK, Rac1, MMP2"
hsa_circ_0013509,Cardiovascular disease,Human,miR-124,,FGF-2,
circRNA_100782,Pancreatic ductal adenocarcinoma,Human,miR-124,,"IL6R, STAT3",
hsa_circ_0000064,Lung cancer,Human,,,,"caspase-3, caspase-9, bax, p21, CDK6, cyclin D1"
hsa_circ_0005105,Osteoarthritis,Human,miR-26a,,NAMPT,"MMP-13, ADAMTS-4, PGE2, IL-6, IL-8"
hsa_circ_0004712,Rheumatoid arthritis,Human,,"hsa-miR-455-3p,  hsa-let-7g-5p, hsa-miR-876-3p, hsa-miR-661, hsa-miR-323a-5p",,
hsa_circ_0003575,Atherosclerosis,Human,,,,oxLDL
hsa_circ_0001445,Hepatocellular carcinoma,Human,"miR-17-3p, miR-181b-5p",,TIMP3,
circRNA-chr19,Ebola virus disease,Human,miR-30b-3p,,CLDN18,
hsa_circ_0070616,Repeated implantation failure,Human,,hsa-miR-574-5p,,
hsa_circ_0006935,Repeated implantation failure,Human,,hsa-miR-574-5p,,
hsa_circ_0001982,Breast cancer,Human,miR-143,,,
hsa_circ_402458,Primary biliary cirrhosis,Human,,"hsa-miR-522-3p, hsa-miR-943",,
hsa_circ_0092509,Osteosarcoma,Human,miR-448,,,
hsa_circ_0007874,Hepatocellular carcinoma,Human,miR-9,,,
hsa_circ_0001724,Colorectal cancer,Human,miR-106b,,CDK6,
hsa_circ_0005239,Triple negative breast cancer,Human,miR-34a,,GFRA1,
hsa_circ_0045714,Osteoarthritis,Human,miR-193b,,IGF1R,
hsa_circRNA_103801,Osteosarcoma,Human,,"hsa-miR-370-3p, hsa-miR-338-3p, hsa-miR-877-3p",,
hsa_circ_0018289,Cervical cancer,Human,miR-497,,,
hsa_circ_0020397,Colorectal cancer,Human,miR-138,,"TERT, PD-L1",
hsa_circ_0002768,Bladder cancer,Human,miR-29a,,,
circLARP4,Gastric cancer,Human,miR-424-5p,,LATS1,
has-circRNA_0046367,Hepatic steatosis,Human,miR-34a,,PPARα,
hsa_circ_0013339,Oral squamous cell carcinoma,Human,"miR-29, miR-29a, miR-29b, miR-29c",,CDK6,
hsa_circRNA_003251,T2DM with depression,Human,,"hsa-miR-4753-3p, hsa-miR-301a-5p, hsa-miR-3191-5p, hsa-miR-6805-5p, hsa-miR-761",,
hsa_circRNA_015115,T2DM with depression,Human,,"hsa-miR-6760-3p, hsa-miR-761, hsa-miR-6728-3p, hsa-miR-5693, hsa-miR-298, hsa-miR-367-5p",,
hsa_circRNA_100918,T2DM with depression,Human,,"hsa-miR-33b-5p, hsa-miR-33a-5p, hsa-miR-148a-5p, hsa-miR-502-5p, hsa-miR-891b",,
hsa_circRNA_005019,T2DM with depression,Human,,"hsa-miR-298, hsa-miR-3155a, hsa-miR-1306-5p, hsa-miR-4460",,
circR-284,Ischemic stroke,Human,miR-221,,,
hsa_circ_0005986,Hepatocellular carcinoma,Human,miR-129-5p,,Notch1,
hsa_circ_0058106,Hypopharyngeal squamous cell carcinoma,Human,,"miR-185-3p, miR-4638-3p",,
hsa_circ_0058107,Hypopharyngeal squamous cell carcinoma,Human,,"miR-185-3p, miR-3137, miR-365b-5p, miR-4638-3p, miR-4673, miR-4722-5p, miR-4726-3p, miR-6751-5p, miR-6752-5p, miR-6803-5p, miR-6815-5p",,
hsa_circ_0024108,Hypopharyngeal squamous cell carcinoma,Human,,"miR-185-3p, miR-296-3p, miR-4420, miR-4646-3p, miR-4743-3p, miR-4755-5p, miR-623, miR-670-5p, miR-6804-5p, miR-7108-5p",,
hsa_circ_0036722,Hypopharyngeal squamous cell carcinoma,Human,,"miR-1250-5p, miR-1254, miR-1301-3p, miR-145-5p, miR-185-3p, miR-3127-5p, miR-3186-3p, miR-323b-5p, miR-3675-5p, miR-4435, miR-4474-3p, miR-4715-3p, miR-4726-5p, miR-5088-3p, miR-6089, miR-671-5p, miR-6757-5p, miR-6762-5p, miR-6767-5p, miR-6799-3p, miR-6836-5p, miR-6880-5p, miR-6895-5p, miR-8077",,
hsa_circ_0002260,Hypopharyngeal squamous cell carcinoma,Human,,"miR-1229-5p, miR-1301-3p",,
hsa_circ_0001189,Hypopharyngeal squamous cell carcinoma,Human,,"miR-3127-3p, miR-5088-3p, miR-6756-3p",,
hsa_circ_0013958,Lung adenocarcinoma,Human,miR-134,,,
hsa_circ_0004771,Breast cancer,Human,,"hsa-miR-653-5p, hsa-miR-339-5p, hsa-miR-330-5p, hsa-miR-595, hsa-miR-629-3p",,
