circRNA,disease
circ_KATNAL1,Prostate cancer
hsa_circ_0087862,Non-small cell lung cancer
circKIF4A,Ovarian cancer
circ-0000212,Colorectal cancer
circ_0058124,Thyroid cancer
circSIPA1L1,Osteogenesis
hsa_circ_0005556,Gastric cancer
circSEMA4B,Intervertebral disc degeneration
hsa_circ_0064574,Gastric cancer
circ_081069,Tongue squamous cell carcinoma
hsa_circ_0003221,Gastric carcinoma
Circ_0001175,Hepatocellular carcinoma
circSKA3,Breast cancer
hsa_circ_0005692,Hepatocellular carcinoma
hsa_circ_0014130,Non-small cell lung cancer
hsa_circ_0001821,Gastric cancer
hsa_circ_0133622,Neuroblastoma
circ_0046701,Glioma
17_50189167_50194626_-,Hypertrophic scar
circ_SATB2,Non-small cell lung cancer
hsa_circ_0003258,Hepatocellular carcinoma
circ-SOX4,Lung adenocarcinoma
CircRSF1,Atherosclerosis
hsa_circ_0070616,Repeated implantation failure
circ-CCDC66,Cervical cancer
circBRAF,Glioma
circ_DLGAP4,Diabetic kidney disease
hsa_circ_0041103,Bladder carcinoma
circDDX17,Breast cancer
hsa_circ_0000707,Chronic lymphocytic leukemia
CircWAC,Triple negative breast cancer
Circ-UBR1,Breast cancer
hsa_circ_0006772,Preeclampsia
CircABCC3,Glioblastoma
hsa_circ_0000274,Renal cell carcinoma
hsa_circ_0003146,Systemic lupus erythematosus
hsa_circ_0016788,Hepatocellular carcinoma
hsa_circ_0016068,Prostate cancer
hsa_circ_0000592,Gastric carcinoma
hsa_circ_0000034,Retinoblastoma
hsa_circ_0091579,Hepatocellular carcinoma
circ_0076305,Non-small cell lung cancer
hsa_circ_0002018,Breast cancer
hsa_circ_0080145,Chronic myeloid leukemia
hsa_circ_0000847,Hepatocellular carcinoma
CiRS-7,Ovarian cancer
hsa_circ_0085533,Melanoma
circ_0000284,Bladder urothelial carcinoma
hsa_circ_0000467,Gastric cancer
hsa_circ_0123778,Cancer
hsa_circ_0009362,Triple negative breast cancer
circRNA_036186,Head and neck squamous cell carcinoma
Circ_0081146,Gastric cancer
hsa_circ_0001368,Gastric cancer
hsa_circ_0000268,Glaucoma
hsa_circ_0099198,Retinoblastoma
hsa_circ_0013549,Ovarian cancer
