circRNA,miRNA
hsa_circ_0025033,miR-3619-5p
circ_0095812,miR-1236
hsa_circ_0018508,hsa-miR-663b
circ_0007142,miR-103a-2-5p
circErbB4,miR-29a-5p
hsa_circ_0000284/circHIPK3,miR-124
hsa_circ_0025202,miR-182-5p
hsa_circ_0005962,hsa-miR-626
hsa_circ_0087378,miR-1260b
hsa_circ_0091579,miR-219-5p
hsa_circ_0001724,miR-106b
circ_0001742,miR-634
hsa_circ_0025367,miR-3137
hsa_circ_0006117,miR-636
Circ-KRT6C,miR-485-3p
circ_0008305,miR-200b-3p
hsa_circ_0004680,hsa-miR-143-3p
circ_0005774,miR-192-5p
hsa_circ_0008131,hsa-miR-149-5p
hsa_circ_0024108,miR-670-5p
hsa_circ_0088452,miR-877-3p
circRNA-101368,miR-200a
circRNA_0000392,miR-193a-5p
hsa_circ_0079586,miR-183-5p
hsa_circ_0013339,miR-29c
hsa_circ_0046263,miR-133a-5p
circ_0000467,miR-382-5p
CircNFIX,miR-34a-5p
circ_0084927,miR-634
hsa_circ_0051239,hsa-miR-3162-5p
circRPMS1,miR-203
hsa_circ_0002320,miR-367-5p
hsa_circ_0000231,miR-502-5p
hsa_circ_0035431,miR-130a-3p
hsa_circ_0003204,miR-370-3p
circ_0020123,miR-590-5p
CircFOXP1,miR-33a-5p
hsa_circ_0004771,miR-653
circRUNX1,miR-296-3p
Circ-OSBPL2,miR-193a-5p
hsa_circ_0000520/hsa_circ_001846,hsa-miR-1233
hsa_circ_0003340,miR-564
hsa_circ_0022080,miR-876-3p
hsa_circ_0000234,miR-142-3p
SPECC1a,FMNL2
hsa_circ_0043497,miR-186-5p
circPDSS1,miR-16
circUBAP2,miR-339-5p
hsa_circRNA_091692,hsa-miR-4529-5p
circ_0003645,miR-1299
hsa_circRNA_102556,hsa-miR-764
hsa_circ_0001821,miR-149
circRNA‑CER,miR-136
circ_0007534,miR-219a-5p
hsa_circ_0008574,miR-3184-3p
hsa_circ_0007874,miR-6803-5p
hsa_circ_0025039,miR-198
circ_0000003,miR-330-3p
hsa_circ_0006916,miR-599
hsa_circ_0000268,miR-217
circ-RNF13,miR-424-5p
CircMMP11,miR-625-5p
hsa_circ_0024108,miR-6804-5p
hsa_circ_0004771,hsa-miR-629-3p
hsa_circ_0000567,miR-1538
circDENND4C,miR-200b
hsa_circ_0031242,miR-188-5p
hsa_circ_0055625,miR-106b-5p
circTRIM33-12,miR-191
hsa_circRNA_004183,hsa-miR-516b-3p
hsa_circ_0030018,miR-1205
hsa_circ_0058514,miR-370-3p
has_circ-0000994,miR-21
hsa_circ_0103809,miR-516a-5p
circ_UBXN7,miR-203a
circ-HIPK3,miR-338-3p
circRNA_004662,hsa-miR-208b-5p
Circ_0031242,miR-924
hsa_circ_0043634,hsa-miR-492
hsa_circ_0003288,miR-145
circ_0000215 ,miR-495-3p
hsa_circ_0007031/hsa_circ_0000504,hsa-miR-663b
hsa_circ_104268,hsa-miR-214-3p
hsa_circ_0041795,miR-646
hsa_circ_0020732,miR-665
hsa_circ_0050581,hsa-miR-4258
circ_0006404,FOXO3
hsa_circ_0008433,has-miR-449a
hsa_circ_0000284/circHIPK3,miR-512-5p
circRACGAP1 ,miR-144-5p
hsa_circ_0001955,miR-145-5p
hsa_circ_0008016,hsa-miR-412-3p
hsa_circ_0043634,hsa-miR-6861-3p
hsa_circ_0000615,miR-326
hsa_circ_0048856,hsa-miR-4279
hsa_circ_0001038,miR-337-3p
hsa_circ_0000408,miR-136-5p
hsa_circ_0061656,miR-449a
hsa_circ_0001953,miR-196a-5p
hsa_circ_0000745,miR-526b
circRNA_100269,miR-630
hsa_circ_0092509,miR-145-5p
circPARD3,miR-145-5p
hsa_circ_0023404,miR-136
circPDSS1,miR-186-5p
hsa_circ_0006404,ID-1
Circ-UBR1,miR-1299
hsa_circ_001654/hsa_circRNA_001654,miR-20a
hsa_circ_0004771,miR-1200
hsa_circ_0006404,miR-432-5p
hsa_circ_0080145,miR-326
hsa_circ_0026134,miR-1287
hsa_circ_0000140,miR-4638-3p
hsa_circ_0005758,miR-452-5p
hsa_circ_0000520,hsa-miR-521
hsa_circ_0025367,miR-516b-5p
circRNA-000425,miR-106
hsa_circ_0002142,miR-625-5p
circ_0005273,hsa-miR-450b-5p
hsa_circ_0005909,miR-936
hsa_circ_0086375,miR-486-5p
hsa_circ_0001283,miR-92a-1-5p
hsa_circ_0054652,miR-7160-5p
hsa_circ_0001946,miR-135b-5p
hsa_circ_0068888,miR-21–5p
hsa_circ_0048856,hsa-miR-8073
hsa_circ_0000284/circHIPK3,miR-876-5p
circ_ARF3,miR-1299
hsa_circ_000911,miR-19b
hsa_circ_0132980,miR-1287-5p
hsa_circ_0003391,miR-326
hsa_circ_0000177,miR-638
CircSPI1,miR-767-5p
circRNA_000684,miR-145
hsa_circ_0096157,miR-181
circ_0062019,miR-497
circUBAP2,miR-204-3p
hsa_circ_0043278,miR-302b-3p
hsa_circRNA_002131,hsa-miR-136-5p
hsa_circ_406697,hsa-miR-6742-5p
hsa_circ_0001766,miR-877-3p
circ_ASAP2,miR-770-5p
hsa_circRNA_004183,hsa-miR-6875-3p
hsa_circ_0044226,hsa_miR-532-5p
hsa_circ_0001821,miR-4755-5p
hsa_circ_0092222,miR-5590-5p
hsa_circRNA_091692,hsa-miR-876-3p
hsa_circRNA_101873,miR-762
circ_0006404,miR-143-3p
hsa_circ_009755,has-miR-29a-5p
hsa_circ_0020123,miR-718
hsa_circ_0080145,miR-29b
hsa_circ_0000520,hsa-miR-1204
circ_0014717,miR-668-3p
hsa_circ_0032463,miR‑330‑3p
hsa_circ_0036722,miR-1250-5p
circ_0001971,miR-194
hsa_circ_0044556,miR-1252
ciRS-7,miR-671-5p
Circ_0008035,miR-599
CircAGFG1,miR-4262
hsa_circ_0003506,miR-1205
hsa_circ_0000096,miR-23a
hsa_circ_0001135,miR-182-5p
hsa_circ_0101308,miR-26a-5p
hsa_circ_0072995,miR-30c-2-3p
circHIPK3,miR-330-5p
hsa_circ_0008309,miR-382-5P
hsa_circ_0004372,miR-29-3p
hsa_circ_0057558,miR-6884
hsa_circ_0007334,miR-1271-5p
hsa_circ_0029426,miR-197
hsa_circ_0069234,miR-7703
cir-ITCH,miR-128
hsa_circ_0079385,miR-499a-3p
hsa_circ_001569,miR-145
hsa_circ_0008433,has-miR-221-3p
Hsa_circ_0086996,miR-125b-5p
hsa_circ_0075001/circNPM1,miR-765
hsa_circ_0038467,miR-338-3p
hsa_circ_0005015,miR-519d-3p
circ0006916,miR-522-3p
hsa_circ_0008602,miR200c
hsa_circ_0099999,miR-335-5p
circ_0005230,miR-1299
hsa_circ_0001095,miR-9
circGFRA1,miR-149
circAtp9b,miR-27a
cTFRC,miR-107
