circRNA,disease
hsa_circ_406697,breast cancer
circ_0014130,Ovarian cancer
hsa_circ_0036878,Preeclampsia
circTP53,Thyroid cancer
hsa_circ_0005927,Gastric cancer
hsa_circRNA_100323,Lung cancer
hsa_circ_0108942,Breast cancer
hsa_circ_0003028,Bladder cancer
hsa_circ_0064574,Gastric cancer
circEXOC6B,Ovarian cancer
hsa_circ_0056159,Pterygium
chr10:32588594-32589641,Osteosarcoma
hsa_circ_0008494,Colorectal cancer
hsa_circ_0006168,Esophageal cancer
hsa_circ_0000567,Colorectal cancer
hsa_circ_0000284,Colorectal cancer
hsa_circ_0014130,Lung cancer
circRNA-100338,Hepatocellular carcinoma
circ-ITCH,esophageal squamous cell carcinoma
hsa_circ_0008360,Rheumatoid arthritis
hsa_circ_000598,Hepatocellular carcinoma
hsa_circ_004674,triple negative breast cancer
hsa_circ_0089153,Ameloblastoma
circHIPK3,Nasopharyngeal carcinoma
hsa_circ_0002211,Colorectal cancer
hsa_circ_0008285,Colon cancer
Circ-CCS,Lung cancer
hsa_circ_0012563,Esophageal cancer
hsa_circ_0074362,Gastric cancer
hsa_circRNA_004183,Thyroid cancer
circ_TFCP2L1,Triple negative breast cancer
hsa_circ_0029965,Active pulmonary tuberculosis
hsa_circ_0001313,Breast cancer
circ_LRIG3,Hepatocellular carcinoma
hsa_circRNA_100433,Pancreatic cancer
circFAT1,Osteosarcoma
hsa_circ_0007121,Preeclampsia
hsa_circRNA_079265,Congenital heart disease
circZNF609,Glioma
"circ-102,166",Hepatocellular carcinoma
hsa_circ_0085013,Pterygium
hsa_circ_0006404,Gastric carcinoma
hsa_circRNA_406752,Clear cell renal cell carcinoma
hsa_circ_0001255,Non-small cell lung cancer
circAtp9b,Pneumonia
CircFAT1,Cervical cancer
hsa_circ_0006260,Bladder cancer
hsa_circ_0030586,Prostate cancer
CDR1as,Pulmonary hypertension
hsa_circ_0070401,Oral squamous cell carcinoma
hsa_circ_0007874,Bladder cancer
circ-0103552,Thyroid carcinoma
hsa_circRNA_400071,Gastric cancer
circ_0001368,Gastric cancer
hsa_circ_001988/hsa_circ_0001451,Triple negative breast cancer
hsa_circ_0084021,Colorectal cancer
hsa_circ_0000284/circHIPK3,Oxidative injury
hsa_circ_0000218,Laryngeal cancer
hsa_circ_001569,Hepatocellular carcinoma
hsa_circ_0000520,Gastric carcinoma
hsa_circ_0007874,Chronic hepatitis B
hsa_circ_0006404,Glioblastoma
hsa_circ_0070963,liver cancer
hsa_circ_0057104,Gastric cancer
circUBAP2,Esophageal squamous cell carcinoma
circAmotl1/hsa_circ_0004214,Breast cancer
hsa_circ_0010567,Breast cancer
ciRS-7,Laryngeal cancer
hsa_circ_15226,Glioblastoma
hsa_circ_0057452,Keloid
hsa_circRNA_082319,Thyroid cancer
hsa_circRNA_104769,Hepatocellular carcinoma
hsa_circ_0023990,Colorectal cancer
CircGDI2,Oral squamous cell carcinoma
circFGFR3,Non-small cell lung cancer
hsa_circ_004183,hepatic steatosis
hsa_circ_0031258,Alzheimer's disease
hsa_circ_0000677/hsa_circ_001569/circABCC,Gastric cancer
hsa_circ_0000218,Colorectal cancer
cDENND4C,Breast cancer
hsa_circ_0092024,Bladder cancer
hsa_circ_0001944,Breast carcinoma
circ_0000326,Lung cancer
hsa_circ_0092340,Osteosarcoma
hsa_circRNA_101308,Gastric cancer
hsa_circ_0023919,Bladder cancer
hsa_circ_0007099,Gastric cancer
hsa_circ_0006117,Non-small cell lung cancer
hsa_circRNA_405619,Alzheimer's disease
has_circ7690-15,gastric cancer
ciRS-7,Colorectal cancer
hsa_circ_0007482,Pterygium
hsa_circ_0067934,Bladder cancer
hsa_circ_0000677,Hepatocellular carcinoma
hsa_circ_0003183,Breast cancer
hsa_circ_0004370,Gastric carcinoma
circ-ERBB2,Lung cancer
hsa_circ_104268,papillary thyroid carcinoma
hsa_circ_100395,Liver cancer
circRNA-51217,Prostate cancer
hsa_circ_0030018,Myocardial injury
hsa_circ_0045272,Systemic lupus erythematosus
hsa_circ_0007444,Colon cancer
hsa_circ_100914,Moyamoya disease
hsa_circ_0072995,Bladder cancer
hsa_circ_0081146,gastric cancer
hsa_circRNA_104566,Papillary thyroid carcinoma
circ_0000285,Osteosarcoma
hsa_circ_0000117,Gastric cancer
has_circ-0072309,Renal cell carcinoma
CDR1as/ciRS-7/hsa_circ_0001946,Pancreatic cancer
hsa_circ_0023404,Cervical cancer
circTADA2A,Breast cancer
hsa_circ_102166,Hepatocellular carcinoma
circ-LAMP1,Cholangiocarcinoma
hsa_circ_0030018,Esophageal cancer
hsa_circ_0000700/hsa_circRNA_001937,Esophageal cancer
hsa_circ_0088227,Preeclampsia
hsa_circ_0035197,Rheumatoid arthritis
hsa_circ_0006667,Proliferative diabetic retinopathy
hsa_circRNA_014724,Hepatic steatosis
hsa_circ_0018429,Pneumonia
hsa_circ_0006401,Gastric cancer
hsa_circ_0014635,Proliferative vitreoretinopathy
hsa-circRNA6510-1,Type 2 diabetes mellitus
hsa_circRNA_400066,Gastric cancer
hsa_circ_000367,Hepatic steatosis
circNRIP1,Renal cell carcinoma
Circ_0116061,Osteoarthritis
hsa_circ_0046263,Non-small cell lung cancer
hsa_circ_10072088,Liver cancer
hsa_circ_0004771,Cervical cancer
hsa_circRNA_019252,Thyroid cancer
hsa_circ_0001649,Gastric cancer
hsa_circ_0008529,Systemic lupus erythematosus
hsa_circ_0000488,Acute myeloid leukemia
hsa_circ_0091074,Triple negative breast cancer
hsa_circ_0002755,Ovarian cancer
hsa_circ_0056285,Intracranial aneurysm
hsa_circ_0058106,Hypopharyngeal carcinoma
circ_0008193,Lung cancer
hsa_circ_0006948,Esophageal cancer
Circ_0035483,Renal cell carcinoma
CircZFR,Breast cancer
hsa_circ_0005728,Breast cancer
circ_0000527,Retinoblastoma
hsa_circ_0004846,Papillary thyroid carcinoma
hsa_circ_0000448,Temporomandibular joint osteoarthritis
circ-PRKCI,Hepatocellular carcinoma
circ-FAM53B,Ovarian cancer
hsa_circ_0005567,Osteoarthritis
chr3:72958113-72960367,Intestinal injury and repair
hsa_circ_0081162,Diabetes retinopathy
chr1:58971728–59004978,Acute ischemic stroke
CircADAMTS6,Chondrocyte apoptosis
hsa_circ_0054971,Gastric cancer
circPDK1,Renal cell carcinoma
hsa_circ_0000911,Breast cancer
hsa_circ_0002755,Glioma
hsa_circ_0001946,Cervical cancer
hsa_circ_0074027,Glioblastoma
hsa_circ_0000285,Laryngocarcinoma
hsa_circ_05707,Prostate cancer
hsa_circ_0084922,Hepatocellular carcinoma
circRPPH1,Breast cancer
hsa_circ_0085567,Breast cancer
hsa_circ_0140628,Steroid-induced osteonecrosis of the femoral head
circPDE4D ,Osteoarthritis
hsa_circ_0000284,Type 2 diabetes mellitus
hsa_circ_0004680,Gastric cancer
hsa_circRNA_101914,Osteoarthritis
circTHBS1,Non-small cell lung cancer
circ-DCUN1D4,Lung adenocarcinoma
hsa_circ_0000893,breast cancer
hsa_circ_0001380,Pulmonary tuberculosis
hsa_circ_0008433,Intracranial aneurysm
hsa_circETV3,Prostate cancer
hsa_circ_0069094,Breast cancer
hsa_circ_0061853,Intervertebral disc degeneration
hsa_circ_104387 ,diabetic retinopathy
hsa_circ_104169,triple negative breast cancer
hsa_circ_0006427,Lung adenocarcinoma
circ_0000337,Esophageal cancer
hsa-circRNA6510-1,Coronary artery disease
hsa_circ_0002260,hypopharyngeal squamous cell carcinoma
