circRNA,disease,miRNA
hsa_circRNA_014213,Papillary thyroid carcinoma,"hsa-miR-6812-5p, hsa-miR-6819-5p, hsa-miR-608, hsa-miR-5572, hsa-miR-5088-5p"
hsa_circRNA_100192,Diabetic retinopathy,unknown
hsa_circRNA_404457,Diabetic retinopathy,unknown
hsa_circRNA_014724,Hepatic steatosis,unknown
hsa_circRNA_100160,Nasopharyngeal carcinoma,unknown
hsa_circRNA_15922,Preeclampsia,unknown
hsa_circRNA_4675,Preeclampsia,"hsa-miR-1182, hsa-miR-4298, hsa-miR-4299, hsa-miR-518a-5p, hsa-miR-636"
hsa_circ_0000096,Clear cell renal cellcarcinoma,"miR-23a, miR-23b, miR-581, miR-146a, miR-450a"
hsa_circ_0000096,Gastric cancer,unknown
hsa_circ_0000096,Hepatocellular carcinoma,unknown
hsa_circ_0013339,Acute myeloid leukemia,miR-203
hsa_circ_0013339,Colorectal cancer,unknown
hsa_circ_0013339,Oral squamous cell carcinoma,unknown
hsa_circRNA_100291,Hepatocellular carcinoma,"hsa-miR-583, hsa-miR-1276"
hsa_circ_0000098,Breast cancer,"miR-141-5p, miR-500a-5p, miR-509-3p, miR-619-3p, miR-578"
hsa_circ_0110251,Osteoarthritis,unknown
hsa_circRNANTNG1,PDLSC osteogenis,unknown
hsa_circ_0000105,Liver cancer,unknown
hsa_circ_0013509,Cardiovascular disease,miR-124
hsa_circ_0013520,Glioblastoma,unknown
hsa_circ_0013549,Ovarian cancer,unknown
hsa_circ_0000110,Gastric cancer,has_miR_665
hsa_circ_0000002,Breast cancer,unknown
hsa_circ_0002623,Bladder cancer,miR-605-3p
hsa_circ_0002623,Non-small cell lung cancer,unknown
hsa_circ_0000117,Gastric cancer,unknown
hsa_circ_0000118,Gastric cancer,unknown
hsa_circ_0000119,Gastric cancer,unknown
hsa_MAN1A2,Colon cancer,unknown
hsa_circ_MAN1A2/hsa_circ_02643,Glioblastoma,unknown
hsa_circ_0000119,Prostate cancer,unknown
hsa_circ_0000119,Lung cancer,hsa-miR-135a-3p.
